id,fileName,avgCghSetSize,avgChurn,avgLoc,cghSetSize,churn,locAdded,maxCghSetSize,maxChurn,maxLoc,bug
2,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/reflect/ReflectRequestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/reflect/ReflectResponder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificDatumReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificDatumWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificRequestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificResponder.java,1.0,0.0,1.0,2,0.0,1,2.0,0,1,no
2,src/test/java/org/apache/avro/TestCompare.java,1.5,74.0,81.0,3,222.0,243,3.0,222,243,no
2,src/test/java/org/apache/avro/TestDataFile.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestDataFileReflect.java,1.5,58.666668,61.0,3,176.0,183,3.0,176,183,no
2,src/test/java/org/apache/avro/TestReflect.java,2.0,27.0,36.5,4,54.0,73,4.0,54,73,no
2,src/java/org/apache/avro/generic/GenericData.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/generic/GenericDatumReader.java,2.0,0.25,2.75,4,1.0,11,4.0,1,11,no
2,src/java/org/apache/avro/generic/GenericDatumWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/generic/GenericRecord.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestProtocolGeneric.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestSchema.java,2.0,19.5,22.0,4,39.0,44,4.0,39,44,no
2,src/java/org/apache/avro/Protocol.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/Schema.java,2.0,11.5,12.0,4,23.0,24,4.0,23,24,no
2,src/java/org/apache/avro/reflect/ReflectData.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificCompiler.java,2.0,6.0,7.0,4,18.0,21,4.0,18,21,no
2,src/java/org/apache/avro/ipc/SocketServer.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/SocketTransceiver.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/JsonDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/RPCContext.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/file/DataFileReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/file/DataFileWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/RandomData.java,1.0,1.0,2.0,1,1.0,2,1.0,1,2,no
2,src/java/org/apache/avro/specific/SpecificRecordBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificData.java,1.0,4.0,10.0,2,4.0,10,2.0,4,10,no
2,src/java/org/apache/avro/AvroRuntimeException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/AvroTypeException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/BarRecord.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/TestProtocolReflect.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/io/Encoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/Transceiver.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/generic/GenericRequestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/generic/GenericResponder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificFixed.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/specific/SpecificExceptionBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/file/SeekableFileInput.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/test/java/org/apache/avro/io/TestValidatingIO.java,1.0,98.5,218.5,2,197.0,437,2.0,197,437,no
