Dataset;TrainRelease;%Train;TrainDefective;TestDefective;getClassifier;Balancing;FeatureSelection;Tp;Fp;Tn;Fn;Precision;Recall;Roc;Kappa
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;SMOTE;No selection;1.0;2.0;830.0;12.0;0.3333333333333333;0.07692307692307693;0.9713849852071006;0.11992263056092849
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;No sampling;Best first;1.0;1.0;831.0;12.0;0.5;0.07692307692307693;0.9751756656804734;0.12976313079300164
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;No sampling;Best first;0.0;0.0;832.0;13.0;NaN;0.0;0.6989644970414202;0.0
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;No sampling;Best first;0.0;0.0;832.0;13.0;NaN;0.0;0.9751756656804734;0.0
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;Oversampling;Best first;13.0;85.0;747.0;0.0;0.1326530612244898;1.0;0.9717548076923077;0.21285083345205924
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;Oversampling;Best first;6.0;108.0;724.0;7.0;0.05263157894736842;0.46153846153846156;0.8775425295857988;0.06876790830945513
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;Oversampling;Best first;13.0;62.0;770.0;0.0;0.17333333333333334;1.0;0.9717548076923077;0.27648114901256754
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;Undersampling;Best first;12.0;138.0;694.0;1.0;0.08;0.9230769230769231;0.8756934171597633;0.12238950947061676
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;Undersampling;Best first;6.0;82.0;750.0;7.0;0.06818181818181818;0.46153846153846156;0.8382488905325444;0.09453748630458607
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;Undersampling;Best first;11.0;126.0;706.0;2.0;0.08029197080291971;0.8461538461538461;0.9078217455621301;0.12199240185732405
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;SMOTE;Best first;2.0;3.0;829.0;11.0;0.4;0.15384615384615385;0.9713849852071006;0.21551724137930944
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;SMOTE;Best first;0.0;0.0;832.0;13.0;NaN;0.0;0.7848095414201184;0.0
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;SMOTE;Best first;1.0;2.0;830.0;12.0;0.3333333333333333;0.07692307692307693;0.9713849852071006;0.11992263056092849
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;No sampling;No selection;0.0;0.0;840.0;15.0;NaN;0.0;0.9624603174603175;0.0
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;No sampling;No selection;0.0;0.0;840.0;15.0;NaN;0.0;0.6698809523809524;0.0
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;No sampling;No selection;0.0;0.0;840.0;15.0;NaN;0.0;0.9623809523809523;0.0
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;Oversampling;No selection;15.0;74.0;766.0;0.0;0.16853932584269662;1.0;0.9673809523809523;0.2664347826086956
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;Oversampling;No selection;8.0;92.0;748.0;7.0;0.08;0.5333333333333333;0.8680952380952381;0.1120377655389456
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;Oversampling;No selection;15.0;74.0;766.0;0.0;0.16853932584269662;1.0;0.9674603174603175;0.2664347826086956
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;Undersampling;No selection;13.0;111.0;729.0;2.0;0.10483870967741936;0.8666666666666667;0.9273015873015873;0.16078175895765456
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;Undersampling;No selection;5.0;80.0;760.0;10.0;0.058823529411764705;0.3333333333333333;0.8202777777777778;0.07233273056057833
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;Undersampling;No selection;13.0;111.0;729.0;2.0;0.10483870967741936;0.8666666666666667;0.9159920634920635;0.16078175895765456
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;SMOTE;No selection;3.0;8.0;832.0;12.0;0.2727272727272727;0.2;0.9686507936507937;0.21917808219178112
Bookkeeper;6;0.4999496424614765;194.0;15.0;NaiveBayes;SMOTE;No selection;0.0;0.0;840.0;15.0;NaN;0.0;0.6836111111111111;0.0
Bookkeeper;6;0.4999496424614765;194.0;15.0;Ibk;SMOTE;No selection;2.0;7.0;833.0;13.0;0.2222222222222222;0.13333333333333333;0.9686507936507937;0.1555555555555543
Bookkeeper;6;0.4999496424614765;194.0;15.0;RandomForest;No sampling;Best first;0.0;0.0;840.0;15.0;NaN;0.0;0.9623809523809523;0.0
